0.313s [game      ] Created Box2D World: 0x03a83330
0.381s [game      ] CameraManager created
0.386s [spawn     ] Spawned Ship
0.390s [spawn     ] Spawned Player
0.393s [game      ] Updated userData hash from 041271242000039 to Player
0.398s [spawn     ] Spawned Emitter
0.402s [game      ] Camera setLockTarget -> Player
0.405s [spawn     ] Spawned Asteroid
0.409s [spawn     ] Spawned Asteroid
0.413s [spawn     ] Spawned Asteroid
0.417s [spawn     ] Spawned Asteroid
0.420s [spawn     ] Spawned Asteroid
0.424s [spawn     ] Spawned Asteroid
0.429s [spawn     ] Spawned Asteroid
0.433s [spawn     ] Spawned Asteroid
0.436s [spawn     ] Spawned Asteroid
0.440s [spawn     ] Spawned Asteroid
0.444s [spawn     ] Spawned Asteroid
0.447s [spawn     ] Spawned Asteroid
0.451s [spawn     ] Spawned Asteroid
0.456s [spawn     ] Spawned Asteroid
0.461s [spawn     ] Spawned Asteroid
0.465s [spawn     ] Spawned Asteroid
0.470s [spawn     ] Spawned Asteroid
0.474s [spawn     ] Spawned Asteroid
0.478s [spawn     ] Spawned Asteroid
0.482s [spawn     ] Spawned Asteroid
0.486s [spawn     ] Spawned Asteroid
0.491s [spawn     ] Spawned Asteroid
0.496s [spawn     ] Spawned Asteroid
0.500s [spawn     ] Spawned Asteroid
0.503s [spawn     ] Spawned Asteroid
0.506s [spawn     ] Spawned Asteroid
0.510s [spawn     ] Spawned Asteroid
0.513s [spawn     ] Spawned Asteroid
0.516s [spawn     ] Spawned Asteroid
0.519s [spawn     ] Spawned Asteroid
0.523s [spawn     ] Spawned Asteroid
0.527s [spawn     ] Spawned Asteroid
0.530s [spawn     ] Spawned Asteroid
0.534s [spawn     ] Spawned Asteroid
0.537s [spawn     ] Spawned Asteroid
0.540s [spawn     ] Spawned Asteroid
0.544s [spawn     ] Spawned Asteroid
0.547s [spawn     ] Spawned Asteroid
0.551s [spawn     ] Spawned Asteroid
0.555s [spawn     ] Spawned Asteroid
0.558s [spawn     ] Spawned Asteroid
0.562s [spawn     ] Spawned Asteroid
0.566s [spawn     ] Spawned Asteroid
0.571s [spawn     ] Spawned Asteroid
0.576s [spawn     ] Spawned Asteroid
0.580s [spawn     ] Spawned Asteroid
0.583s [spawn     ] Spawned Asteroid
0.586s [spawn     ] Spawned Asteroid
0.589s [spawn     ] Spawned Asteroid
0.592s [spawn     ] Spawned Asteroid
0.596s [spawn     ] Spawned Asteroid
0.603s [spawn     ] Spawned Asteroid
0.606s [spawn     ] Spawned Asteroid
0.609s [spawn     ] Spawned Asteroid
0.614s [spawn     ] Spawned Asteroid
0.618s [spawn     ] Spawned Asteroid
0.621s [spawn     ] Spawned Asteroid
0.624s [spawn     ] Spawned Asteroid
0.627s [spawn     ] Spawned Asteroid
0.631s [spawn     ] Spawned Asteroid
0.635s [spawn     ] Spawned Asteroid
0.638s [spawn     ] Spawned Asteroid
0.642s [spawn     ] Spawned Asteroid
0.646s [spawn     ] Spawned Asteroid
0.651s [spawn     ] Spawned Asteroid
0.655s [spawn     ] Spawned Asteroid
0.659s [spawn     ] Spawned Asteroid
0.663s [spawn     ] Spawned Asteroid
0.667s [spawn     ] Spawned Asteroid
0.671s [spawn     ] Spawned Asteroid
0.676s [spawn     ] Spawned Asteroid
0.680s [spawn     ] Spawned Asteroid
0.684s [spawn     ] Spawned Asteroid
0.688s [spawn     ] Spawned Asteroid
0.692s [spawn     ] Spawned Asteroid
0.696s [spawn     ] Spawned Asteroid
0.702s [spawn     ] Spawned Asteroid
0.706s [spawn     ] Spawned Asteroid
0.711s [spawn     ] Spawned Asteroid
0.715s [spawn     ] Spawned Asteroid
0.719s [spawn     ] Spawned Asteroid
0.723s [spawn     ] Spawned Asteroid
0.727s [spawn     ] Spawned Asteroid
0.732s [spawn     ] Spawned Asteroid
0.735s [spawn     ] Spawned Asteroid
0.738s [spawn     ] Spawned Asteroid
0.743s [spawn     ] Spawned Asteroid
0.747s [spawn     ] Spawned Asteroid
0.751s [spawn     ] Spawned Asteroid
0.755s [spawn     ] Spawned Asteroid
0.758s [spawn     ] Spawned Asteroid
0.763s [spawn     ] Spawned Asteroid
0.768s [spawn     ] Spawned Asteroid
0.773s [spawn     ] Spawned Asteroid
0.776s [spawn     ] Spawned Asteroid
0.780s [spawn     ] Spawned Asteroid
0.783s [spawn     ] Spawned Asteroid
0.787s [spawn     ] Spawned Asteroid
0.790s [spawn     ] Spawned Asteroid
0.793s [spawn     ] Spawned Asteroid
0.796s [spawn     ] Spawned Asteroid
0.800s [spawn     ] Spawned Asteroid
0.804s [spawn     ] Spawned Asteroid
0.811s [spawn     ] Spawned Asteroid
0.814s [spawn     ] Spawned Asteroid
0.818s [spawn     ] Spawned Asteroid
0.822s [spawn     ] Spawned Asteroid
0.826s [spawn     ] Spawned Asteroid
0.829s [spawn     ] Spawned Asteroid
0.833s [spawn     ] Spawned Asteroid
0.838s [spawn     ] Spawned Asteroid
0.841s [spawn     ] Spawned Asteroid
0.844s [spawn     ] Spawned Asteroid
0.847s [spawn     ] Spawned Asteroid
0.851s [spawn     ] Spawned Asteroid
0.854s [spawn     ] Spawned Asteroid
0.858s [spawn     ] Spawned Asteroid
0.861s [spawn     ] Spawned Asteroid
0.865s [spawn     ] Spawned Asteroid
0.869s [spawn     ] Spawned Asteroid
0.873s [spawn     ] Spawned Asteroid
0.878s [spawn     ] Spawned Asteroid
0.882s [spawn     ] Spawned Asteroid
0.886s [spawn     ] Spawned Asteroid
0.889s [spawn     ] Spawned Asteroid
0.892s [spawn     ] Spawned Asteroid
0.896s [spawn     ] Spawned Asteroid
0.900s [spawn     ] Spawned Asteroid
0.904s [spawn     ] Spawned Asteroid
0.909s [spawn     ] Spawned Asteroid
0.913s [spawn     ] Spawned Asteroid
0.918s [spawn     ] Spawned Asteroid
0.923s [spawn     ] Spawned Asteroid
0.927s [spawn     ] Spawned Asteroid
0.931s [spawn     ] Spawned Asteroid
0.935s [spawn     ] Spawned Asteroid
0.939s [spawn     ] Spawned Asteroid
0.943s [spawn     ] Spawned Asteroid
0.947s [spawn     ] Spawned Asteroid
0.951s [spawn     ] Spawned Asteroid
0.955s [spawn     ] Spawned Asteroid
0.961s [spawn     ] Spawned Asteroid
0.964s [spawn     ] Spawned Asteroid
